gfx,cu_num,M,N,K,a_dtype,tile_m,tile_n,tile_k,us,tflops,gain_vs_heuristic_pct
gfx950,256,128,4096,7168,fp4,128,64,256,14.307,525.33,13.9
gfx950,256,256,4096,7168,fp4,128,64,256,19.674,764.06,7.6
gfx950,256,512,4096,7168,fp4,32,128,256,21.359,1407.60,32.2
gfx950,256,128,4608,7168,fp4,128,64,256,14.281,592.10,15.8
gfx950,256,256,4608,7168,fp4,128,64,256,20.477,825.86,12.0
gfx950,256,512,4608,7168,fp4,128,128,256,24.134,1401.44,20.6
gfx950,256,256,5120,6144,fp4,64,128,256,18.538,868.82,25.5
gfx950,256,512,5120,6144,fp4,128,128,256,21.771,1479.57,24.7
gfx950,256,256,5120,17408,fp4,64,128,256,44.440,1026.87,22.3
gfx950,256,512,5120,17408,fp4,128,128,256,51.311,1778.73,28.5
gfx950,256,256,7168,2048,fp4,64,64,256,13.529,555.55,5.4
gfx950,256,512,7168,2048,fp4,128,128,128,13.698,1097.38,12.6
gfx950,256,128,8192,5120,fp4,128,64,256,13.632,787.64,29.5
gfx950,256,256,8192,5120,fp4,64,128,256,18.456,1163.58,55.9
gfx950,256,512,8192,5120,fp4,128,128,256,21.673,1981.72,38.5
gfx950,256,16,34816,5120,fp4,32,64,256,15.958,357.45,5.0
gfx950,256,32,34816,5120,fp4,32,64,256,16.355,697.56,6.9
gfx950,256,64,34816,5120,fp4,64,128,256,19.278,1183.55,62.1
gfx950,256,128,34816,5120,fp4,128,64,256,26.031,1753.07,135.6
gfx950,256,256,34816,5120,fp4,128,128,256,39.041,2337.76,62.5
gfx950,256,512,34816,5120,fp4,128,128,256,65.615,2781.92,69.3
gfx950,256,1,4096,7168,fp6,32,64,128,13.760,4.27,22.9
gfx950,256,2,4096,7168,fp6,32,128,128,14.130,8.31,19.9
gfx950,256,4,4096,7168,fp6,32,128,128,14.081,16.68,19.4
gfx950,256,8,4096,7168,fp6,32,128,128,14.128,33.25,19.7
gfx950,256,16,4096,7168,fp6,32,64,128,13.765,68.25,22.1
gfx950,256,32,4096,7168,fp6,32,64,128,13.751,136.65,22.8
